File Name,Formation,Member,Onset (s),Slope (dB/s),R^2,Drop Time (s),C2 (dB),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Peak Frequency (Hz),Rolloff 85% (Hz),Low Power 1-10 kHz,High Power 10-30 kHz,High/Low Ratio,High Frequency Fraction,Total FFT Power,Recovery Method
scam_0237_0687976869_667_ca0_scam06237_sigale_______________02p01.wav,Seitah,Undivided,0.07259,-5710.7306,0.923532578,0.001400871545,16.31361246,6178.188664,5288.330798,4500,8800,10478644727,663635407.2,0.06333217935,0.04171748901,15907846394,
scam_0239_0688152051_670_ca0_scam01239_cheiron______________02p01.wav,Seitah,Caille,0.07177,-7955.488449,0.7616602124,0.001005595075,9.440068188,5036.523867,2572.567387,3600,7100,93784661276,1496684453,0.0159587339,0.01306469359,114559476110,Original
scam_0239_0688154484_917_ca0_scam02239_content______________01p01.wav,Seitah,Content,0.07339,-2697.631903,0.8225865212,0.002965563979,13.90810525,5616.924702,4665.678589,3200,8000,46901148530,2929507134,0.06246130907,0.0495284752,59147937058,Original
scam_0239_0688154646_681_ca0_scam02239_content______________02p01.wav,Seitah,Content,0.07365,-12330.97668,0.9011105967,0.0006487726163,16.94001481,5747.340804,4959.606517,3200,8700,23030255799,1602258356,0.06957188709,0.05907397437,27122914500,
scam_0242_0688422891_820_ca0_scam06242_gion_________________01p01.wav,Seitah,Bastide,0.07631,-7179.293748,0.8929517119,0.001114315736,17.16962174,6107.529414,5138.373276,4600,7600,9741527349,601840282.9,0.06178089548,0.05360650851,11227000222,
scam_0242_0688423037_764_ca0_scam06242_gion_________________02p01.wav,Seitah,Bastide,0.07651,-16848.8176,0.9424397455,0.0004748107666,16.76442508,5655.665484,4142.450011,4300,7800,23411448397,1103046692,0.04711569628,0.04378682882,25191289751,
scam_0246_0688773424_713_ca0_scam01246_amignon______________02p01.wav,Seitah,Caille,0.07515,-1079.435865,0.6858947456,0.007411278668,4.506655555,5454.586155,6391.174974,3700,9400,54610143816,7920375883,0.1450348842,0.005392974899,1468646902909,
scam_0246_0688775965_945_ca0_scam02246_brac_246_____________01p01.wav,Seitah,Caille,0.07406,-319.8729006,0.7679613464,0.02500993358,7.424943781,6009.894697,4855.367278,4500,8400,70260396300,3575240889,0.05088557819,0.04449550543,80350607427,
scam_0246_0688776125_739_ca0_scam02246_brac_246_____________02p01.wav,Seitah,Caille,0.07421,-3175.609402,0.870379022,0.00251920151,14.95156907,5377.077337,3392.179785,4500,7900,66544894762,1588303158,0.02386814441,0.02266156296,70087979388,
scam_0247_0688864881_213_ca0_scam01247_brac_247_____________01p01.wav,Seitah,Bastide,0.0745,-1028.410305,0.9514002837,0.007778996341,8.25211257,6172.658483,5555.832269,4300,8700,16936664875,975117236.4,0.05757433613,0.04055394665,24044940555,
scam_0247_0688865095_185_ca0_scam01247_brac_247_____________02p01.wav,Seitah,Bastide,0.07444,-3032.151121,0.9440284444,0.002638390924,12.08736438,5991.187811,5353.37463,3800,8400,19574413505,1390075708,0.07101493527,0.06301017488,22061130773,Original
scam_0250_0689128711_062_ca0_scam01250_hotel________________01p01.wav,Seitah,Caille,0.07838,-4700.12589,0.9963750814,0.001702082069,8.278903547,8402.404356,7962.198981,6200,10300,34177131448,5274537559,0.1543294401,0.02903426092,181665983295,very wide soft
scam_0252_0689319767_228_ca0_scam04252_pierlas______________01p01.wav,Seitah,Bastide,0.06826,-4333.557319,0.8477285482,0.001846058425,15.46479922,8003.438467,7215.077601,5000,9300,35436723965,3925437664,0.1107731535,0.08862298705,44293673620,
scam_0252_0689319812_322_ca0_scam04252_pierlas______________02p01.wav,Seitah,Bastide,0.06835,-5183.607951,0.8233288023,0.001543326593,15.84541098,8224.914544,8046.397146,5100,10100,18553892468,2547255638,0.1372895548,0.1116413541,22816416538,
