File Name,Expected Time (s),Found,Flagged,Onset (s),Peak Time (s),Lag (ms),Forced Peak
scam_0313_0694724321_603_ca0_scam01313_bessons______________01p01.wav,0.06,True,True,0.05544,0.06028,4.84,False
scam_0313_0694724321_603_ca0_scam01313_bessons______________01p01.wav,0.065,True,True,0.06028,0.06028,0.0,True
scam_0313_0694724321_603_ca0_scam01313_bessons______________01p01.wav,0.07,False,True,,,,
scam_0313_0694724321_603_ca0_scam01313_bessons______________01p01.wav,0.073,True,True,0.07205,0.07205,0.0,True
scam_0313_0694724321_603_ca0_scam01313_bessons______________01p01.wav,0.076,True,True,0.07205,0.07205,0.0,True
scam_0313_0694724321_603_ca0_scam01313_bessons______________01p01.wav,0.08,True,True,0.07205,0.07205,0.0,True
scam_0313_0694724321_603_ca0_scam01313_bessons______________01p01.wav,0.085,True,True,0.08054,0.08054,0.0,True
scam_0328_0696058027_273_ca0_scam05328_brusquet_____________02p01.wav,0.06,True,True,0.05511,0.06081,5.7,False
scam_0328_0696058027_273_ca0_scam05328_brusquet_____________02p01.wav,0.065,False,True,,,,
scam_0328_0696058027_273_ca0_scam05328_brusquet_____________02p01.wav,0.07,False,True,,,,
scam_0328_0696058027_273_ca0_scam05328_brusquet_____________02p01.wav,0.073,False,True,,,,
scam_0328_0696058027_273_ca0_scam05328_brusquet_____________02p01.wav,0.076,False,True,,,,
scam_0328_0696058027_273_ca0_scam05328_brusquet_____________02p01.wav,0.08,True,False,0.07725,0.07733,0.08,False
scam_0328_0696058027_273_ca0_scam05328_brusquet_____________02p01.wav,0.085,True,False,0.07709,0.07733,0.24000000000000002,False
scam_0335_0696680688_405_ca0_scam01335_chabran______________01p01.wav,0.06,True,False,0.05433,0.05438,0.05,False
scam_0335_0696680688_405_ca0_scam01335_chabran______________01p01.wav,0.065,False,True,,,,
scam_0335_0696680688_405_ca0_scam01335_chabran______________01p01.wav,0.07,False,True,,,,
scam_0335_0696680688_405_ca0_scam01335_chabran______________01p01.wav,0.073,False,True,,,,
scam_0335_0696680688_405_ca0_scam01335_chabran______________01p01.wav,0.076,False,True,,,,
scam_0335_0696680688_405_ca0_scam01335_chabran______________01p01.wav,0.08,True,True,0.08489,0.08489,0.0,True
scam_0335_0696680688_405_ca0_scam01335_chabran______________01p01.wav,0.085,True,True,0.08489,0.08489,0.0,True
scam_0335_0696680738_320_ca0_scam01335_chabran______________02p01.wav,0.06,True,False,0.05435,0.0544,0.05,False
scam_0335_0696680738_320_ca0_scam01335_chabran______________02p01.wav,0.065,False,True,,,,
scam_0335_0696680738_320_ca0_scam01335_chabran______________02p01.wav,0.07,False,True,,,,
scam_0335_0696680738_320_ca0_scam01335_chabran______________02p01.wav,0.073,True,True,0.06545,0.06545,0.0,True
scam_0335_0696680738_320_ca0_scam01335_chabran______________02p01.wav,0.076,False,True,,,,
